course_branch_id,course_lesson_id,course_module_id,course_branch_lesson_order,course_branch_lesson_name
"branch~6o3Tbxt3Eea6zxLIiAy73w","g9S3n","VUcbW",0,"Week 6: Project Sprint 3"
"branch~6o3Tbxt3Eea6zxLIiAy73w","mFBaV","sDRJO",0,"Week 4: Project Sprint 1"
"branch~6o3Tbxt3Eea6zxLIiAy73w","d2ajb","axsNt",0,"Week 2: Requirements Review"
"branch~6o3Tbxt3Eea6zxLIiAy73w","hiUp9","QqTdi",0,"Week 5: Project Sprint 2"
"branch~6o3Tbxt3Eea6zxLIiAy73w","6dUH6","Uf8PR",0,"Week 3: Release and Iteration Planning"
"branch~6o3Tbxt3Eea6zxLIiAy73w","1DmNT","NEjg6",1,"Week 1: Project Start"
"branch~6o3Tbxt3Eea6zxLIiAy73w","Rk10Z","NEjg6",0,"Capstone Introduction"
"branch~2NrPvSjhEeam2xJnFSlCww","hiUp9","QqTdi",0,"Week 5: Project Sprint 2"
"branch~2NrPvSjhEeam2xJnFSlCww","Rk10Z","NEjg6",0,"Capstone Introduction"
"branch~2NrPvSjhEeam2xJnFSlCww","1DmNT","NEjg6",1,"Week 1: Project Start"
"branch~2NrPvSjhEeam2xJnFSlCww","g9S3n","VUcbW",0,"Week 6: Project Sprint 3"
"branch~2NrPvSjhEeam2xJnFSlCww","d2ajb","axsNt",0,"Week 2: Requirements Review"
"branch~2NrPvSjhEeam2xJnFSlCww","mFBaV","sDRJO",0,"Week 4: Project Sprint 1"
"branch~2NrPvSjhEeam2xJnFSlCww","6dUH6","Uf8PR",0,"Week 3: Release and Iteration Planning"
"99SZyjVxEeW6RApRXdjJPw","d2ajb","axsNt",0,"Week 2: Requirements Review"
"99SZyjVxEeW6RApRXdjJPw","1DmNT","NEjg6",1,"Week 1: Project Start"
"99SZyjVxEeW6RApRXdjJPw","mFBaV","sDRJO",0,"Week 4: Project Sprint 1"
"99SZyjVxEeW6RApRXdjJPw","6dUH6","Uf8PR",0,"Week 3: Release and Iteration Planning"
"99SZyjVxEeW6RApRXdjJPw","hiUp9","QqTdi",0,"Week 5: Project Sprint 2"
"99SZyjVxEeW6RApRXdjJPw","Rk10Z","NEjg6",0,"Capstone Introduction"
"99SZyjVxEeW6RApRXdjJPw","g9S3n","VUcbW",0,"Week 6: Project Sprint 3"
