course_id,course_item_id,peer_assignment_id
"99SZyjVxEeW6RApRXdjJPw","YRR22","B7quoNEDEeW86A4dl3pnEQ@6"
"99SZyjVxEeW6RApRXdjJPw","YLJk4","NYjqqtESEeWR0RIE1vRpDw@5"
"99SZyjVxEeW6RApRXdjJPw","Utvpp","em6s9NEVEeWlfA7f_IUrbw@1"
"99SZyjVxEeW6RApRXdjJPw","jDnF8","25sis86eEeWljg6vNXStKQ@6"
"99SZyjVxEeW6RApRXdjJPw","a3J40","nqhqtdAbEeWJ8go9jrGl7Q@6"
"99SZyjVxEeW6RApRXdjJPw","a3J40","nqhqtdAbEeWJ8go9jrGl7Q@1"
"99SZyjVxEeW6RApRXdjJPw","fFMh9","dn6ZfdEIEeWR0RIE1vRpDw@2"
"99SZyjVxEeW6RApRXdjJPw","8hQcr","AI8CcM6REeWRcgrL75b_bQ@10"
"99SZyjVxEeW6RApRXdjJPw","lRHE2","4qyWSs6NEeWzWQ7wuWBg7Q@3"
"99SZyjVxEeW6RApRXdjJPw","ch4H9","o40uFM6MEeW4gBJQzjtgDw@1"
"99SZyjVxEeW6RApRXdjJPw","ch4H9","o40uFM6MEeW4gBJQzjtgDw@8"
"99SZyjVxEeW6RApRXdjJPw","a3J40","nqhqtdAbEeWJ8go9jrGl7Q@3"
"99SZyjVxEeW6RApRXdjJPw","7UTtN","P3kcYs6CEeW6bA4RgCmm0Q@6"
"99SZyjVxEeW6RApRXdjJPw","ch4H9","o40uFM6MEeW4gBJQzjtgDw@6"
"99SZyjVxEeW6RApRXdjJPw","E6m7K","ZqZRCtTbEeWHOA7t0uQ0Ww@9"
"99SZyjVxEeW6RApRXdjJPw","Utvpp","em6s9NEVEeWlfA7f_IUrbw@5"
"99SZyjVxEeW6RApRXdjJPw","jDnF8","25sis86eEeWljg6vNXStKQ@1"
"99SZyjVxEeW6RApRXdjJPw","8hQcr","AI8CcM6REeWRcgrL75b_bQ@1"
"99SZyjVxEeW6RApRXdjJPw","Orpha","8jzkN86PEeWyxApSRqwlWw@7"
"99SZyjVxEeW6RApRXdjJPw","q0yAj","dGK4i9AXEeWJ8go9jrGl7Q@6"
"99SZyjVxEeW6RApRXdjJPw","6rdPD","7T_9jdGpEeWHOA7t0uQ0Ww@3"
"99SZyjVxEeW6RApRXdjJPw","jDnF8","25sis86eEeWljg6vNXStKQ@3"
"99SZyjVxEeW6RApRXdjJPw","8hQcr","AI8CcM6REeWRcgrL75b_bQ@6"
"99SZyjVxEeW6RApRXdjJPw","PvXZU","-xK13dEPEeW3igq7kvt3qw@7"
"99SZyjVxEeW6RApRXdjJPw","q0yAj","dGK4i9AXEeWJ8go9jrGl7Q@1"
"99SZyjVxEeW6RApRXdjJPw","lRHE2","4qyWSs6NEeWzWQ7wuWBg7Q@1"
"99SZyjVxEeW6RApRXdjJPw","ch4H9","o40uFM6MEeW4gBJQzjtgDw@11"
"99SZyjVxEeW6RApRXdjJPw","Orpha","8jzkN86PEeWyxApSRqwlWw@6"
"99SZyjVxEeW6RApRXdjJPw","E6m7K","ZqZRCtTbEeWHOA7t0uQ0Ww@7"
"99SZyjVxEeW6RApRXdjJPw","q0yAj","dGK4i9AXEeWJ8go9jrGl7Q@7"
"99SZyjVxEeW6RApRXdjJPw","7UTtN","P3kcYs6CEeW6bA4RgCmm0Q@4"
"99SZyjVxEeW6RApRXdjJPw","8hQcr","AI8CcM6REeWRcgrL75b_bQ@4"
"99SZyjVxEeW6RApRXdjJPw","PvXZU","-xK13dEPEeW3igq7kvt3qw@4"
"99SZyjVxEeW6RApRXdjJPw","fFMh9","dn6ZfdEIEeWR0RIE1vRpDw@11"
"99SZyjVxEeW6RApRXdjJPw","q0yAj","dGK4i9AXEeWJ8go9jrGl7Q@3"
"99SZyjVxEeW6RApRXdjJPw","E6m7K","ZqZRCtTbEeWHOA7t0uQ0Ww@8"
"99SZyjVxEeW6RApRXdjJPw","ch4H9","o40uFM6MEeW4gBJQzjtgDw@7"
"99SZyjVxEeW6RApRXdjJPw","fFMh9","dn6ZfdEIEeWR0RIE1vRpDw@1"
"99SZyjVxEeW6RApRXdjJPw","Utvpp","em6s9NEVEeWlfA7f_IUrbw@12"
"99SZyjVxEeW6RApRXdjJPw","lRHE2","4qyWSs6NEeWzWQ7wuWBg7Q@6"
"99SZyjVxEeW6RApRXdjJPw","Orpha","8jzkN86PEeWyxApSRqwlWw@5"
"99SZyjVxEeW6RApRXdjJPw","7UTtN","P3kcYs6CEeW6bA4RgCmm0Q@1"
"99SZyjVxEeW6RApRXdjJPw","Utvpp","em6s9NEVEeWlfA7f_IUrbw@4"
"99SZyjVxEeW6RApRXdjJPw","E6m7K","ZqZRCtTbEeWHOA7t0uQ0Ww@4"
"99SZyjVxEeW6RApRXdjJPw","8hQcr","AI8CcM6REeWRcgrL75b_bQ@2"
"99SZyjVxEeW6RApRXdjJPw","YRR22","B7quoNEDEeW86A4dl3pnEQ@3"
"99SZyjVxEeW6RApRXdjJPw","q0yAj","dGK4i9AXEeWJ8go9jrGl7Q@2"
"99SZyjVxEeW6RApRXdjJPw","lRHE2","4qyWSs6NEeWzWQ7wuWBg7Q@2"
"99SZyjVxEeW6RApRXdjJPw","a3J40","nqhqtdAbEeWJ8go9jrGl7Q@2"
"99SZyjVxEeW6RApRXdjJPw","YRR22","B7quoNEDEeW86A4dl3pnEQ@4"
"99SZyjVxEeW6RApRXdjJPw","fFMh9","dn6ZfdEIEeWR0RIE1vRpDw@4"
"99SZyjVxEeW6RApRXdjJPw","ch4H9","o40uFM6MEeW4gBJQzjtgDw@3"
"99SZyjVxEeW6RApRXdjJPw","YRR22","B7quoNEDEeW86A4dl3pnEQ@2"
"99SZyjVxEeW6RApRXdjJPw","a3J40","nqhqtdAbEeWJ8go9jrGl7Q@5"
"99SZyjVxEeW6RApRXdjJPw","7UTtN","P3kcYs6CEeW6bA4RgCmm0Q@7"
"99SZyjVxEeW6RApRXdjJPw","fFMh9","dn6ZfdEIEeWR0RIE1vRpDw@12"
"99SZyjVxEeW6RApRXdjJPw","lRHE2","4qyWSs6NEeWzWQ7wuWBg7Q@7"
"99SZyjVxEeW6RApRXdjJPw","6rdPD","7T_9jdGpEeWHOA7t0uQ0Ww@4"
"99SZyjVxEeW6RApRXdjJPw","YLJk4","NYjqqtESEeWR0RIE1vRpDw@1"
"99SZyjVxEeW6RApRXdjJPw","Utvpp","em6s9NEVEeWlfA7f_IUrbw@8"
"99SZyjVxEeW6RApRXdjJPw","PvXZU","-xK13dEPEeW3igq7kvt3qw@5"
"99SZyjVxEeW6RApRXdjJPw","6rdPD","7T_9jdGpEeWHOA7t0uQ0Ww@1"
"99SZyjVxEeW6RApRXdjJPw","7UTtN","P3kcYs6CEeW6bA4RgCmm0Q@8"
"99SZyjVxEeW6RApRXdjJPw","7UTtN","P3kcYs6CEeW6bA4RgCmm0Q@10"
"99SZyjVxEeW6RApRXdjJPw","6rdPD","7T_9jdGpEeWHOA7t0uQ0Ww@2"
"99SZyjVxEeW6RApRXdjJPw","ch4H9","o40uFM6MEeW4gBJQzjtgDw@9"
"99SZyjVxEeW6RApRXdjJPw","ch4H9","o40uFM6MEeW4gBJQzjtgDw@10"
"99SZyjVxEeW6RApRXdjJPw","YLJk4","NYjqqtESEeWR0RIE1vRpDw@7"
"99SZyjVxEeW6RApRXdjJPw","E6m7K","ZqZRCtTbEeWHOA7t0uQ0Ww@5"
"99SZyjVxEeW6RApRXdjJPw","7UTtN","P3kcYs6CEeW6bA4RgCmm0Q@5"
"99SZyjVxEeW6RApRXdjJPw","8hQcr","AI8CcM6REeWRcgrL75b_bQ@3"
"99SZyjVxEeW6RApRXdjJPw","Utvpp","em6s9NEVEeWlfA7f_IUrbw@10"
"99SZyjVxEeW6RApRXdjJPw","jDnF8","25sis86eEeWljg6vNXStKQ@4"
"99SZyjVxEeW6RApRXdjJPw","q0yAj","dGK4i9AXEeWJ8go9jrGl7Q@5"
"99SZyjVxEeW6RApRXdjJPw","Orpha","8jzkN86PEeWyxApSRqwlWw@4"
"99SZyjVxEeW6RApRXdjJPw","ch4H9","o40uFM6MEeW4gBJQzjtgDw@2"
"99SZyjVxEeW6RApRXdjJPw","PvXZU","-xK13dEPEeW3igq7kvt3qw@1"
"99SZyjVxEeW6RApRXdjJPw","8hQcr","AI8CcM6REeWRcgrL75b_bQ@11"
"99SZyjVxEeW6RApRXdjJPw","E6m7K","ZqZRCtTbEeWHOA7t0uQ0Ww@2"
"99SZyjVxEeW6RApRXdjJPw","PvXZU","-xK13dEPEeW3igq7kvt3qw@2"
"99SZyjVxEeW6RApRXdjJPw","Utvpp","em6s9NEVEeWlfA7f_IUrbw@13"
"99SZyjVxEeW6RApRXdjJPw","E6m7K","ZqZRCtTbEeWHOA7t0uQ0Ww@3"
"99SZyjVxEeW6RApRXdjJPw","Utvpp","em6s9NEVEeWlfA7f_IUrbw@7"
"99SZyjVxEeW6RApRXdjJPw","7UTtN","P3kcYs6CEeW6bA4RgCmm0Q@12"
"99SZyjVxEeW6RApRXdjJPw","a3J40","nqhqtdAbEeWJ8go9jrGl7Q@7"
"99SZyjVxEeW6RApRXdjJPw","Utvpp","em6s9NEVEeWlfA7f_IUrbw@9"
"99SZyjVxEeW6RApRXdjJPw","Utvpp","em6s9NEVEeWlfA7f_IUrbw@6"
"99SZyjVxEeW6RApRXdjJPw","8hQcr","AI8CcM6REeWRcgrL75b_bQ@8"
"99SZyjVxEeW6RApRXdjJPw","7UTtN","P3kcYs6CEeW6bA4RgCmm0Q@2"
"99SZyjVxEeW6RApRXdjJPw","ch4H9","o40uFM6MEeW4gBJQzjtgDw@4"
"99SZyjVxEeW6RApRXdjJPw","YLJk4","NYjqqtESEeWR0RIE1vRpDw@2"
"99SZyjVxEeW6RApRXdjJPw","E6m7K","ZqZRCtTbEeWHOA7t0uQ0Ww@6"
"99SZyjVxEeW6RApRXdjJPw","fFMh9","dn6ZfdEIEeWR0RIE1vRpDw@9"
"99SZyjVxEeW6RApRXdjJPw","E6m7K","ZqZRCtTbEeWHOA7t0uQ0Ww@1"
"99SZyjVxEeW6RApRXdjJPw","8hQcr","AI8CcM6REeWRcgrL75b_bQ@5"
"99SZyjVxEeW6RApRXdjJPw","E6m7K","ZqZRCtTbEeWHOA7t0uQ0Ww@11"
"99SZyjVxEeW6RApRXdjJPw","PvXZU","-xK13dEPEeW3igq7kvt3qw@6"
"99SZyjVxEeW6RApRXdjJPw","6rdPD","7T_9jdGpEeWHOA7t0uQ0Ww@5"
"99SZyjVxEeW6RApRXdjJPw","YRR22","B7quoNEDEeW86A4dl3pnEQ@5"
"99SZyjVxEeW6RApRXdjJPw","Orpha","8jzkN86PEeWyxApSRqwlWw@2"
"99SZyjVxEeW6RApRXdjJPw","YLJk4","NYjqqtESEeWR0RIE1vRpDw@8"
"99SZyjVxEeW6RApRXdjJPw","q0yAj","dGK4i9AXEeWJ8go9jrGl7Q@4"
"99SZyjVxEeW6RApRXdjJPw","fFMh9","dn6ZfdEIEeWR0RIE1vRpDw@8"
"99SZyjVxEeW6RApRXdjJPw","jDnF8","25sis86eEeWljg6vNXStKQ@2"
"99SZyjVxEeW6RApRXdjJPw","a3J40","nqhqtdAbEeWJ8go9jrGl7Q@4"
"99SZyjVxEeW6RApRXdjJPw","Utvpp","em6s9NEVEeWlfA7f_IUrbw@2"
"99SZyjVxEeW6RApRXdjJPw","fFMh9","dn6ZfdEIEeWR0RIE1vRpDw@13"
"99SZyjVxEeW6RApRXdjJPw","ch4H9","o40uFM6MEeW4gBJQzjtgDw@5"
"99SZyjVxEeW6RApRXdjJPw","7UTtN","P3kcYs6CEeW6bA4RgCmm0Q@9"
"99SZyjVxEeW6RApRXdjJPw","8hQcr","AI8CcM6REeWRcgrL75b_bQ@7"
"99SZyjVxEeW6RApRXdjJPw","E6m7K","ZqZRCtTbEeWHOA7t0uQ0Ww@10"
"99SZyjVxEeW6RApRXdjJPw","PvXZU","-xK13dEPEeW3igq7kvt3qw@3"
"99SZyjVxEeW6RApRXdjJPw","7UTtN","P3kcYs6CEeW6bA4RgCmm0Q@11"
"99SZyjVxEeW6RApRXdjJPw","8hQcr","AI8CcM6REeWRcgrL75b_bQ@9"
"99SZyjVxEeW6RApRXdjJPw","YLJk4","NYjqqtESEeWR0RIE1vRpDw@3"
"99SZyjVxEeW6RApRXdjJPw","ch4H9","o40uFM6MEeW4gBJQzjtgDw@12"
"99SZyjVxEeW6RApRXdjJPw","YRR22","B7quoNEDEeW86A4dl3pnEQ@8"
"99SZyjVxEeW6RApRXdjJPw","YRR22","B7quoNEDEeW86A4dl3pnEQ@1"
"99SZyjVxEeW6RApRXdjJPw","lRHE2","4qyWSs6NEeWzWQ7wuWBg7Q@5"
"99SZyjVxEeW6RApRXdjJPw","fFMh9","dn6ZfdEIEeWR0RIE1vRpDw@5"
"99SZyjVxEeW6RApRXdjJPw","YRR22","B7quoNEDEeW86A4dl3pnEQ@7"
"99SZyjVxEeW6RApRXdjJPw","YLJk4","NYjqqtESEeWR0RIE1vRpDw@6"
"99SZyjVxEeW6RApRXdjJPw","Orpha","8jzkN86PEeWyxApSRqwlWw@1"
"99SZyjVxEeW6RApRXdjJPw","fFMh9","dn6ZfdEIEeWR0RIE1vRpDw@6"
"99SZyjVxEeW6RApRXdjJPw","fFMh9","dn6ZfdEIEeWR0RIE1vRpDw@7"
"99SZyjVxEeW6RApRXdjJPw","Utvpp","em6s9NEVEeWlfA7f_IUrbw@3"
"99SZyjVxEeW6RApRXdjJPw","Utvpp","em6s9NEVEeWlfA7f_IUrbw@11"
"99SZyjVxEeW6RApRXdjJPw","Orpha","8jzkN86PEeWyxApSRqwlWw@3"
"99SZyjVxEeW6RApRXdjJPw","YLJk4","NYjqqtESEeWR0RIE1vRpDw@4"
"99SZyjVxEeW6RApRXdjJPw","jDnF8","25sis86eEeWljg6vNXStKQ@5"
"99SZyjVxEeW6RApRXdjJPw","fFMh9","dn6ZfdEIEeWR0RIE1vRpDw@3"
"99SZyjVxEeW6RApRXdjJPw","YRR22","B7quoNEDEeW86A4dl3pnEQ@9"
"99SZyjVxEeW6RApRXdjJPw","fFMh9","dn6ZfdEIEeWR0RIE1vRpDw@10"
"99SZyjVxEeW6RApRXdjJPw","lRHE2","4qyWSs6NEeWzWQ7wuWBg7Q@4"
"99SZyjVxEeW6RApRXdjJPw","7UTtN","P3kcYs6CEeW6bA4RgCmm0Q@3"
